what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296390409972
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1296390415689
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1296390421121
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296390421885
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296390425298
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1296390427878
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1296390443263
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296390444196
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1296390444252
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296390448651
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296390486069
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296390501304
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296390510447
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296390521070
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1296390524103
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296390528216
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1296390528422
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296390529701
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296390555250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296390570651
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296390825596
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1296390834852
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296390865303
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296390869769
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296390888446
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296390888535
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296390893693
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1296390893739
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1296390893739
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296390910384
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296390911969
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296390916035
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296401348014
error,log,,,"Unable to create editor ID org.eclipse.ui.DefaultTextEditor: The file does not exist.",1296401349401
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1296401349421
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1296401349423
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1296401349468
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1296401352767
